name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
COMET,Réservoirs et citernes métalliques - Carrosseries et remorques.,Ben Arous,(216) - 71 388 329 / 71 381 020,https://fr.linkedin.com/company/cometeurope,,"Début 2025, notre offre principale - Comet Meetings - c’est : - 🇫🇷 8 sites à Paris (Ternes, Place des Victoires, Étoile, Coeur Défense, Bourse, Bercy, Arboretum, Levallois) - 🇧🇪 1 site à Bruxelles (avenue Louise car on veut le meilleur pour vous) - 🇪🇸 1 site à Madrid (l’une des plus belles vues sur le Retiro, oui) C’est aussi une Dream Team de 220+ collaborateurs répartis sur 3 pays, et près de 760 000 visiteurs accueillis entre 2016 et 2025, soit plus ou moins l’équivalent de la population de Malte 🌴(dit comme ça, on trouve ça vachement plus impressionnant). Nos 3 offres sont : 1. 🇫🇷🇧🇪🇪🇸 Comet Meetings : l’organisation sur mesure de vos réunions et vos événements d’entreprise 2. 🇫🇷 Comet Hospitality : le design et l'opération d'espaces de convivialité attractifs et différenciants au sein de vos bureaux 3. 🇫🇷 Comet Workplaces : des bureaux comme un hôtel, alliant design, assistance et flexibilité C’est en 2016 que Vic, Nicholas et Max créent Comet : ils ont l’ambition de proposer des lieux agréables et efficaces pour rassembler ses collaborateurs tout en répondant aux grands enjeux de l’hybridation du travail. Et oui, car désormais on travaille un peu chez soi, un peu dans des tiers lieux et parfois au bureau ! … Vous êtes encore là ? C’est qu’il y a de grandes chances qu’on devienne copains. 🕺 Et vous avez raison, on a une multitude de talents et trucs cool desquels vous faire profiter : 💡 Des espaces design, confortables et lumineux 🥗 Un service traiteur sain, gourmand et respectueux de la saisonnalité 🖥 Un accompagnement technologique infaillible 🧘🏼♀️ Des sessions wellness et des activités d’équipe 👩💼 Des méthodes et des experts pour réussir vos réunions, 📏 Une capacité à faire du sur-mesure. Airbus, Coca-cola, Engie, Sanofi, BNP Paribas, La Banque Postale… font déjà partie de nos clients, pourquoi pas vous ? Si vous êtes toujours là, commentez ""Comet m'en doit une 😉"" sur l'un de nos posts, et vous remporterez un 🎁.",201-500 employés,Événementiel,"Paris, Île-de-France",Société civile/Société commerciale/Autres types de sociétés,,
COMET (FOUCHANA),Réservoirs et citernes métalliques - Carrosseries et remorques.,Ben Arous,(216) - 71 381 020,https://fr.linkedin.com/company/thermecatex,https://www.thermecatex.com,"THERMECATEX est une entreprise spécialisée dans la fabrication de chaudières à vapeur en Tunisie. Forte d'une expérience significative dans le domaine, elle propose des solutions d'économie d'énérgie dans les installations thermiques tels que la vapeur et autres.",51-200 employés,Fabrication de machines industrielles,"ben arous, fouchana",Société civile/Société commerciale/Autres types de sociétés,1992,
COMETAL,Traitement et revêtement des métaux.,Ben Arous,(216) - 71 398 300 / 31 344 601,https://fr.linkedin.com/company/com%C3%A9tal-inc,https://cometal.ca/,"Cométal, depuis 60 ans, est un acteur incontournable au Québec dans le domaine de la fabrication et de la distribution de produits mécaniques et architecturaux destinés au secteur de la construction. L'entreprise agit également en tant qu'agent distributeur de plusieurs produits renommés tels que Loren Cook, Tamco, Plymovent, etc. En plus de son siège social situé à Lévis, Cométal compte quatre succursales situées à Laval, Rimouski, Drummondville et au Saguenay, couvrant ainsi l'ensemble du territoire. Voir notre chaine youtube : https://youtube.com/@cometalinc5255 Prix distinction 2021 réalisé par La shop Architecture et Revêtements de la capitale : https://youtube.com/@cometalinc5255",51-200 employés,Construction,"Lévis, Québec",Société indépendante,1962,
COMMECA TUNISIE,Mécanique générale.,Nabeul,(216) - 29 990 446 / 72 363 841,https://fr.linkedin.com/company/commeca-tunisie,www.commecatunisie.com,"Créée par la société française COMMECA Anjou en 2006, COMMECA Tunisie est une société spécialisée dans l'usinage de précision, filiale du groupe français CERTIX Group. COMMECA TUNISIE c'est : - la production de pièces mécaniques de grande précision - 35 salariés - 25 000 heures de production annuelle - 2000 m2 de surface de production dont une salle dédiée au montage",11-50 employés,Fabrication de composants pour l’industrie aéronautique et aérospatiale,NABEUL,Société civile/Société commerciale/Autres types de sociétés,2006,
COREME,Réservoirs et citernes métalliques - Matériel de levage et manutention - Machine agricole - Carrosseries et remorques.,Ben Arous,(216) - 98 134 406 / 98 134 405,https://fr.linkedin.com/company/groupe-coreme,https://coreme-industries.fr/le-groupe/,"COREME est un groupe français, familial d'une centaine de collaborateurs, spécialisé dans le travail et le traitement des métaux depuis 50 ans. Implanté sur 4 sites de production en France, ses marchés sont à fort enjeux techniques dans les domaines de l'énergie, le nucléaire, l'aéronautique, la défense, l'agroalimentaire, le pharmaceutique, la chimie, le thermique et les biens d'équipements Industriels.",11-50 employés,Ingénierie mécanique ou industrielle,"La Talaudière, Auvergne-Rhône-Alpes",Société civile/Société commerciale/Autres types de sociétés,,
CORNIERE N'JAH,Ouvrages divers en métaux.,Sfax,(216) - 74 228 098 / 74 227 040,https://fr.linkedin.com/company/758-vacancies,https://www.facebook.com/vacanciesslu,758 Vacancies advertises all the current vacancies on island and by extension the Caribbean. Apply for any job that suits your background and qualification and spread the word. Hiring? Send us an email: 758vacancies@gmail.com #758Vacancies,2-10 employés,Services de publicité,Gros Islet,Travailleur indépendant,,
COSIM,Constructions métalliques.,Sfax,(216) - 74 649 139,https://fr.linkedin.com/company/cosimara,,Le COSIM ARA conseille et accompagne les Organisations de Solidarité Internationale Issues des Migrations (OSIM) d’Auvergne Rhône-Alpes engagées dans des actions de coopération et de solidarité internationale,1 employé,Organisations civiques et sociales,"Vaulx-en-Velin, Auvergne-Rhône-Alpes",Non lucratif,,
CPM (SOUANI),Mécanique générale.,Medenine,(216) - 75 652 058,https://fr.linkedin.com/company/cpm-india,http://www.in.cpm-int.com,"CPM Group, inspiring and influencing human behaviour. We create and deliver insight-led sales, marketing and customer experience strategies, wherever and whenever our clients’ customers and shoppers can be influenced. We bring ideas to life with commitment, energy and positivity. We make things happen through a bespoke combination of sales, marketing and customer experience. We offer global reach, but our approach is centred around you We deliver meaningful data-driven conversions through empowered people. We care, we’re curious, we achieve together = we’re people people Contact us to see how we can inspire you www.in.cpm-int.com",5 001-10 000 employés,Commerce de détail,"New Delhi, Delhi",Société cotée en bourse,2008,
CPT,Mécanique générale.,Bizerte,(216) - 72 417 223 / 72 417 282,https://fr.linkedin.com/company/cpt?trk=ppro_cprof,http://www.cpt-ti.ch,-,201-500 employés,Enseignement supérieur,,Établissement éducatif,,
CROWN MAGHREB,Emballages métalliques légers.,Tunis,(216) - 31 358 100,https://fr.linkedin.com/company/crown-holdings-inc-/jobs,,,,,,,,
CTM (MJAZ EL BAB),Motocycles.,Beja,(216) - 71 849 925 / 22 302 055,https://fr.linkedin.com/company/ctm-tunisie,http://www.ctmegov.com,"CTM Tunisie develops its activities in the field of ICT and eGovernement, primarily within the frame of strategies, but also in Web Content Management. We address any kind of customers, with a good knowledge of public sector. We are looking for partnership with web agency or communication companies for joined offers.",1 employé,Services et conseil en informatique,Tunis,Société civile/Société commerciale/Autres types de sociétés,2010,
CYCLO INDUSTRIE,Motocycles - Bicyclettes.,Sousse,(216) - 73 225 517 / 28 204 010,https://fr.linkedin.com/company/zimota-groupe,https://zimota.tn/FR/,"A PROPOS DE NOUS Créer depuis plus de 35 ans ZIMOTA est un groupe tunisien opérant dans les métiers de la mécanique et le sport sur tout le territoire. Le groupe s’exprime principalement dans : la distribution de pièces mécanique, la fabrication de motocycle et le commerce des produits de sport. Dirigé par Laribi Taoufik, le Groupe ZIMOTA est aujourd’hui présent dans les plus grandes villes du pays. ZIMOTA commercialise plus de 5 000 produits fabriqués à travers le monde.Le groupe se compose principalement de 3 sociétés : *La centrale des comptoirs Tunisie : est spécialisé dans l'importation et la distribution de pièces pour cycles et motocycles. * La société cyclo industrie: est spécialiste dans la fabrication et montage de motocycles et vélos en Tunisie Créer en 1999 en partenariat avec le numéro 1 coréen, cyclo industrie a su transformé le paysage du marché du motocycle en Tunisie qui était dominé précédemment par les mobylettes française. En effet avec les 2 chaines d’assemblage doté du savoir-faire coréen puis taiwanais et finalement italien, la société a su se construire un nom pour les produits de qualité et haut de gamme. * Cyclo Palais: est spécialisée dans la distribution des produits de sport: Du matériel de fitness aux machines professionnelles pour salle de sport en passant par le matériel de musculation et sport de ballon ou raquette. notre société propose à tout sportif une gamme complète. Cyclo Palais a développé un ensemble de marque pour offrir des produits de qualité, innovant et avec un design distingué.",51-200 employés,Fabrication de véhicules automobiles,"sousse, Sidi Abdelhamid",Société civile/Société commerciale/Autres types de sociétés,1986,
CYCLO-CENTRE,Motocycles - Bicyclettes.,Kairouan,(216) - 28 529 903 / 77 272 710,https://fr.linkedin.com/company/lepetitcyclo,https://le-petit-cyclo.com/,"🚵♂ A propos du Petit Cyclo 🚵♂ En quelques années, Le Petit Cyclo a su se positionner comme un acteur majeur du tourisme à vélo en Occitanie. Le Petit Cyclo, c'est aujourd'hui: ● Une agence réceptive de voyage à vélo en liberté, clés en main et/ou sur-mesure, spécialiste du sud-ouest ● Une agence de location de vélo “one-way”, basée à Toulouse, et relayée par des partenaires à Castelnaudary, Carcassonne, Agde, Sète, Bordeaux et Agen. ● et un vélociste avec boutique et atelier de réparation vélo en plein cœur de Toulouse. ● Enfin, Toulouse Bike Tour qui est une marque du Petit Cyclo, organise des visites guidées de Toulouse à vélo.",2-10 employés,Organisation de voyages,"TOULOUSE, Occitanie",Société civile/Société commerciale/Autres types de sociétés,2012,
DECO STAFF,Constructions métalliques.,Sousse,(216) - 22 480 448,https://fr.linkedin.com/company/staff-decor,http://www.staffdecor.fr/,"Corniches, profils lumineux, moulures, rosaces, plafonniers, agencements et parements muraux... des produits 100% en staff pour votre décoration ! Le Style Staff Décor Capter une lumière, capturer des ombres. Former, déformer, reformer pour reconstruire l’environnement architectural de l’espace. Matériau noble et naturel, le staff est le caméléon de la décoration d’intérieur. Qu’on le veuille design ou qu’on le préfère baroque, il opère dans chaque lieu de la même manière. Discrètement il s’impose comme moteur de l’harmonie globale. C’est dans ce souci que nous imaginons depuis plus de40 ans toutes nos collections. Le staff s’adapte à tous les intérieurs... se fond à vos envies. Nous écoutons vos besoins et évoluons avec vous. Notre style est avant tout le vôtre. Staff Décor vous donne rendez-vous sur les réseaux sociaux : Facebook : https://www.facebook.com/staffdecorpageofficielle Instagram : https://www.instagram.com/staff.decor Twitter : https://twitter.com/STAFFDECOR Pinterest : https://fr.pinterest.com/staffdecor/ Et ses blogs : Staff Décor côté Pro : http://leschantiersdustaff.com/ Staff Décor Côté Déco : http://toutenstaff.com/",51-200 employés,Services de design,Orgères,Société civile/Société commerciale/Autres types de sociétés,1979,
